sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,apparel_type,arm_length,brand,brand_model,bridge_width,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,draft_antireflection,draft_lens_material,draft_lens_transition,draft_lens_type,electronic_type,eyewear_type,frame_color,frame_type,gallery,gender,gift_message_available,gift_wrapping_available,gift_wrapping_price,has_options,home_decor_type,image,image_label,jewelry_type,length,lens_type,lens_width,luggage_size,luggage_style,luggage_travel_style,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,necklace_length,news_from_date,news_to_date,occasion,options_container,page_layout,polarized,prescription_ready,price,required_options,shoe_size,shoe_type,short_description,sleeve_length,small_image,small_image_label,something,special_from_date,special_price,special_to_date,status,style,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,width,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
singlevision-type-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"Single vision lenses are prescribed if you need correction for one field of vision, either for distance, intermediate (computer), or items up close (near vision). Single vision has the same optical focal point or correction over the entire area of the lens.",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Single Vision,,,,,Block after Info Column,,,,39,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,single-vision,single-vision.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
bifocals-type-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"Bifocals are eyeglasses with two distinct optical powers. Bifocals are commonly prescribed to people with presbyopia who also require a correction for myopia, hyperopia, and/or astigmatism.",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Bifocals,,,,,Block after Info Column,,,,69,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,bifocals,bifocals.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
progressive-type-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"This type of lens has no visible dividing line between the different prescription segments and enables the wearer to see objects in the distance, at close range and in the intermediate distance through a single lens. This type has become the mainstream senior lens. ",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Progressive,,,,,Block after Info Column,,,,99,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,progressive,progressive.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plastic-material-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"CR-39, or allyl diglycol carbonate (ADC), is a plastic polymer commonly used in the manufacture of eyeglass lenses. The abbreviation stands for ""Columbia Resin #39"", which was the 39th formula of a thermosetting plastic developed by the Columbia Resins project in 1940.",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Plastic (CR-39),,,,,Block after Info Column,,,,39,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,plastic-material,plastic-material.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
polycarbonate-material-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"Polycarbonate eyeglass lenses are 10 times more impact-resistant than glass or regular plastic lenses, and they exceed the FDA's impact resistance requirements by more than 40 times.
",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Thin (Polycarbonate),,,,,Block after Info Column,,,,69,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,polycarbonate-material,polycarbonate-material.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
hindex167-material-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"High index lenses with 1.67 high index are good for people with prescriptions over +/-6.00 sphere, because they are thinner and lighter. Thinner lenses have three advantages: they do not look thick, they do not magnify or minify your eyes when seen by others, and they are lighter. The suggested prescription range is +/-6.00 to +/-8.00 sphere. Thinner, lighter and more expensive than mid-high index or hard resin lenses, high index lenses are a good choice for every day use.",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Thinner (h index 1.67),,,,,Block after Info Column,,,,99,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,hindex-1-67-material,hindex-1-67-material.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
hindex174-material-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"High index lenses with 1.74 are the thinnest lenses on the market, and are made only for people with the highest prescriptions.",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Thinnest (h index 1.74),,,,,Block after Info Column,,,,189,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,hindex-1-74-material,hindex-1-74-material.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
Cryzal-material-lens,,Default,simple,,,base,,,,,,,,,2016-04-28 04:37:09,,,,,"Crizal high index lenses with 1.74 are the thinnest lenses on the market, and are made only for people with the highest prescriptions.",,,,,,,,,,,,No,,0,,no_selection,,,,,,,,,,,,,,,,Use config,Use config,Thinnest Crizal (h index 1.74),,,,,Block after Info Column,,,,229,0,,,Corrections greater than +2 or less than -2 significantly decreases size of lenses. Needed corrections for more than one field of vision.,,no_selection,,,,,,1,,2,no_selection,,2016-04-30 05:12:14,crizal-hindex-1-74-material,crizal-hindex-1-74-material.html,1,0,,99999999,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
