SKU,Product Name,Product ID,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,Frame Color,Special Features1
7W-P28T-3D8B,Givenchy 0009 Shiny Black Frame Women Cateye Eyeglasses (0QOL),,Givenchy,m0009,eQOL,,prescription-eyewear-frames,249.99,Model: Givenchy 0009.,Lens: Demo.,Color: Shiny Black Frame.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Gender: Women.,Givenchy 0009 square women sunglasses frame red black,Eyeglasses frame prescription ophtalmic,cateye cat eye,lens lenses authentic made in italy,reading glasses women woman,brown,composite,Demo,cateye,non-polarized,52,16,145,unisex-adult,,prescription-ready
JP-YCEV-GHMB,"Givenchy 7004/S Metal Women Sunglasses (Gold Copper Frame, Green Gradient Lens 0DDB)",,Givenchy,m7004,eDDB,,sunglasses,284.99,Model: Givenchy 7004/S.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Made in Italy.,Gender: Women.,,Givenchy 7004/S 7004 square women sunglasses frame red black,discount sale,man men unisex gift mirror,made in italy auhtentic gradient,lens lenses authentic frame shades glasses,Green,metal,gradient,Rectangular,non-polarized,58,16,140,womens,Gold Copper Frame,
JP-YCET-GHMB,"Givenchy 7004/S Metal Women Sunglasses (Gold Frame, Brown Gradient Lens 0J5G)",,Givenchy,m7004,eJ5G,,sunglasses,284.99,Model: Givenchy 7004/S.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Made in Italy.,Gender: Women.,,Givenchy 7004/S 7004 square women sunglasses frame red black,discount sale,man men unisex gift mirror,made in italy auhtentic gradient,lens lenses authentic frame shades glasses,Green,metal,gradient,Rectangular,non-polarized,58,16,140,womens,Gold Frame,
5J-NHAW-0QR3,"Givenchy 7004/S Metal Women Sunglasses (Light Gold Frame, Burgundy Gradient Lens 03YG)",,Givenchy,m7004,e3YG,,sunglasses,284.99,Model: Givenchy 7004/S.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Made in Italy.,Gender: Women.,,Givenchy 7004/S 7004 square women sunglasses frame red black,discount sale,man men unisex gift mirror,made in italy auhtentic gradient,lens lenses authentic frame shades glasses,Green,metal,gradient,Rectangular,non-polarized,58,16,140,womens,Light Gold Frame,
07-8JJE-LU6E,"Givenchy 7005/S Metal Aviator Women Sunglasses (Gold Copper Frame , Blue Gradient Lens 0DDB)",,Givenchy,m7005,eDDB,,sunglasses,179.99,Model: Givenchy 7005/S.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Made in Italy.,Gender: Women.,Style: Aviator,Givenchy 7004/S 7004 square women sunglasses frame red black,discount sale aviator pilot aviators,man men unisex gift mirror,made in italy auhtentic gradient,lens lenses authentic frame shades glasses,Blue,metal,gradient,Rectangular,non-polarized,56,16,140,unisex-adult,Gold Copper Frame,
EE-JENG-1L1M,"Givenchy 7005/S Metal Aviator Women Sunglasses (Palladium Frame , Green Gradient Lens 0010)",,Givenchy,m7005,e010,,sunglasses,179.99,Model: Givenchy 7005/S.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Made in Italy.,Gender: Women.,Style: Aviator,Givenchy 7004/S 7004 square women sunglasses frame red black,discount sale aviator pilot aviators,man men unisex gift mirror,made in italy auhtentic gradient,lens lenses authentic frame shades glasses,Green,metal,gradient,Rectangular,non-polarized,56,16,140,unisex-adult,Palladium Frame,
EE-JENI-1L1M,"Givenchy 7005/S Metal Aviator Women Sunglasses (Shiny Black Frame, Grey Gradient Lens 0006)",,Givenchy,m7005,e006,,sunglasses,179.99,Model: Givenchy 7005/S.,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Made in Italy.,Gender: Women.,Style: Aviator,Givenchy 7004/S 7004 square women sunglasses frame red black,discount sale aviator pilot aviators,man men unisex gift mirror,made in italy auhtentic gradient,lens lenses authentic frame shades glasses,Grey,metal,gradient,Rectangular,non-polarized,56,16,140,unisex-adult,Shiny Black Frame,
7H-8QC1-WXHG,Givenchy 7008/S Havana Black Frame / Brown Gradient Lens (0QON),,Givenchy,m7008,eQON,,sunglasses,239.99,Model: Givenchy 7008/S.,Color: Havana Black Frame / Brown Gradient Lens (0QON).,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Gender: Women.,Style: Cateye.,Givenchy 7004/S 7008 square women sunglasses frame red black,discount sale cat eye cateyed,man men unisex gift mirror,made in italy auhtentic gradient,gradient lens lenses authentic made in italy,Brown,plastic,gradient,cateye,non-polarized,53,17,145,unisex-adult,Brown,prescription-ready
5M-YBUB-KCOT,Givenchy 7009/S Havana Black Frame / Brown Gradient Lens (0QON),,Givenchy,m7009,eQON,,sunglasses,244.99,Model: Givenchy 7009/S.,Color: Havana Black Frame / Brown Gradient Lens (0QON).,"Original Givenchy Packaging, Box, Case and Cleaning Cloth included.",Gender: Women.,Style: Cateye.,Givenchy 7004/S 7009 square women sunglasses frame red black,discount sale cat eye cateyed,man men unisex gift mirror,made in italy auhtentic gradient,gradient lens lenses authentic made in italy,Brown,plastic,gradient,cateye,non-polarized,55,17,145,unisex-adult,Brown,prescription-ready
LK-85GG-SRPD,Miu Miu 52QS Marbleized Havana / Light Brown Gradient Lens (7S0/0A6),719363479261,Miu Miu,m52QS,e7800A6,Square frame with marbleized black acetate detail on top and antiqued metal temples Metal lettering logo.,sunglasses,249.99,Model: Miu Miu MU52QS.,Color: Marbleized Havana Frame / Light Brown Gradient Lens (7S0/0A6).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miumiu miu-miu gift for her girlfriend,smu52QS. 52qs mu52qs,sunglasses women new collection style,style fashion designer,gradient lens lenses authentic made in italy,brown,metal,gradient,square,non-polarized,54,23,140,womens,,prescription-ready
S6-5DDN-AR4W,Miu Miu 52QS Opaline Lilac Frame / Smoky Grey Gradient Lens (TWJ/3E2),710377981726,Miu Miu,m52QS,eTWJ3E2,Square frame with opaline lilac acetate detail on top and antiqued metal temples Metal lettering logo,sunglasses,249.99,Model: Miu Miu MU52QS.,Color: Opaline Lilac Frame / Smoky Grey Gradient Lens (TWJ/3E2).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miumiu miu-miu gift for her girlfriend,smu52QS. 52qs mu52qs,sunglasses women new collection style,style fashion designer frame,gradient lens lenses authentic made in italy,grey,metal,gradient,square,non-polarized,54,23,140,womens,,prescription-ready
N1-QV7T-Z5OX,"Miu Miu MU 01RS Reveal Women Sunglasses (Grey Glitter Frame, Grey Gradient Lens (DHE/0A7))",710377985861,Miu Miu,m01RS,eREVEAL-DHE0A7,Miu Miu Reveal collection over sized square sunglasses. Acetate and glitter fabric frame. Lettering logo,sunglasses,299.99,Model: Miu Miu MU01RS REVEAL.,"Original Miu Miu Packaging, Box, Hard Case, Soft Case and Cleaning Cloth included.",Made in Italy.,Gender: Unisex.,New Collection.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter,01rs mu01rs 01 rs cat eyes transparent,,Grey,Composite,gradient,Square,non-polarized,67,17,140,womens,Grey,
C8-CQT3-24JI,Miu Miu MU 01RS Reveal Women Sunglasses (Grey Gradient Lens (UES/0A7)),710377985700,Miu Miu,m01RS,eREVEAL-UES0A7,Miu Miu Reveal collection over sized square sunglasses. Acetate and gold glitter fabric frame. Lettering logo,sunglasses,299.99,Model: Miu Miu MU01RS REVEAL.,"Original Miu Miu Packaging, Box, Hard Case, Soft Case and Cleaning Cloth included.",Made in Italy.,Gender: Unisex.,New Collection.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter,01rs mu01rs 01 rs cat eyes transparent,,Grey,Composite,gradient,Square,non-polarized,67,17,140,womens,,
QE-NLX0-HVEQ,Miu Miu MU 01RS Reveal Women Sunglasses (Light Orange Gradient Lens (PC8/0A3)),710377985687,Miu Miu,m01RS,eREVEAL-PC80A3,Miu Miu Reveal collection over sized square sunglasses. Acetate and gold glitter fabric frame. Lettering logo,sunglasses,299.99,Model: Miu Miu MU01RS REVEAL.,"Original Miu Miu Packaging, Box, Hard Case, Soft Case and Cleaning Cloth included.",Made in Italy.,Gender: Unisex.,New Collection.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter,01rs mu01rs 01 rs cat eyes transparent,,Orange,Composite,gradient,Square,non-polarized,67,17,140,womens,,
C8-CQT2-24JI,Miu Miu MU 01RS Reveal Women Sunglasses (Pink Gradient Grey Lens (UEU/1E2)),710377985694,Miu Miu,m01RS,eREVEAL-UEU1E2,Miu Miu Reveal collection over sized square sunglasses. Acetate and gold glitter fabric frame. Lettering logo,sunglasses,299.99,Model: Miu Miu MU01RS REVEAL.,"Original Miu Miu Packaging, Box, Hard Case, Soft Case and Cleaning Cloth included.",Made in Italy.,Gender: Unisex.,New Collection.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter,01rs mu01rs 01 rs cat eyes transparent,,Pink,Composite,gradient,Square,non-polarized,67,17,140,womens,,
EL-I14N-4JCO,Miu Miu MU 02QS Rasoir Sunglasses Black Frame w/Crystal Pavé Embellishment / Grey Gradient Lens 1AB/0A7,719363480700,Miu Miu,m02QS,eRASOIR-1AB0A7,A luxurious version of the Rasoir semi-rimless black cat-eyed acetate frame with crystal pavé embellishment Metal lettering logo. GREY GRADIENT LENSES Cod. SMU02Q E1AB F04M1,sunglasses,384.99,Model: Miu Miu MU02QS Rasoir,Color: Black Frame w/Crystal Pavé Embellishment / Grey Gradient Lens 1AB/0A7,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miu miu miu-miu gift for her girlfriend,rasoir rasor semi rimless swarovski crystalls,sunglasses women authentic made in italy,MU01QS 01qs,SMU01Q E1AB F00A7,black,plastic,gradient,cateye,non-polarized,50,22,145,womens,,
KS-QGNX-G59G,"Miu Miu MU 02RS REVEAL Collection Women Sunglasses (Green Havana Frame, Grey Green Gradient (UAG/0A7)()",710377986028,Miu Miu,m02RS,eREVEAL-UAG0A7,Miu Miu Reveal collection oversized square tortoiseshell acetate frame. Lettering logo.,sunglasses,274.99,Model: Miu Miu MU 02RS Reveal Collection.,Style: Oversized Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter pave,for her him unisex men women reveal,sunglasses glasses frame shades lenses,green,Composite,plastic,Square,non-polarized,67,17,140,womens,Green  ,prescription-ready
4U-700F-7FT9,"Miu Miu MU 02RS REVEAL Collection Women Sunglasses (Ivory Frame, Brown Gradient Lens 7S3/1L0)",710377986233,Miu Miu,m02RS,eREVEAL-7S31L0,Miu Miu Reveal collection oversized square tortoiseshell acetate frame. Lettering logo.,sunglasses,274.99,Model: Miu Miu MU 02RS Reveal Collection.,Style: Oversized Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter pave,for her him unisex men women reveal,sunglasses glasses frame shades lenses,brown,Composite,gradient,Square,non-polarized,67,17,140,womens,Ivory ,prescription-ready
