SKU,Product Name,Product ID,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,Frame Color,Special Features1
SG-KS37-XI5R,Maui Jim HS260-16C HONOMANU Antique Gold Frame / Polarized HCL BRONZE Lens,719363481776,Maui Jim,m260,eHS16C,"Maui Pure The perfect lens for your everyday active lifestyle, MauiPure is the lightest weight choice for long days in the sun. Scratch and impact-resistant. Injection molded for the crispest optics next to glass.",sunglasses,309.99,MODEL: HS260-16C HONOMANU.,Color: Antique Gold Frame / Polarized HCL BRONZE Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: Maui Pure.,Gender: Unisex.,maui jim glasses sunglasses women woman men gift,mauijim HONOMANU aviator pilot,discount for boyfriend girlfriend,Polarised lens lenses,shades lens lenses authentic original,bronze,titanium,composite,aviator,polarized,57,18,137,unisex-adult,,prescription-ready
O8-Z34X-IAUC,Maui Jim HS264-16 MAVERICKS Gold Frame / Polarized HCL BRONZE Lens,719363481646,Maui Jim,m264,eGS02,"NEUTRAL GREY bright, direct sun Perfect for especially bright, direct sunlight. Offers rich color and contrast along with the highest available light production, unlike ordinary grey lenses that flatten light evenly across the spectrum.",sunglasses,289.99,MODEL: GS264-02 MAVERICKS.,Color: Gold Frame / Polarized HCL BRONZE Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: Maui Evolution.,Gender: Unisex.,maui jim glasses sunglasses women woman men gift,mauijim MAVERICKS pilot aviator,discount for boyfriend girlfriend unisex,Polarized lens lenses polarised,shades lens lenses authentic original,grey,titanium,glass,aviator,polarized,61,14,137,unisex-adult,,prescription-ready
OF-O6HR-LE5N,Maui Jim HS267-10M Waterways Polarized Sunglasses Matte Tortoise / HCL BRONZE Lens,719363478738,Maui Jim,m267,eHS10M,"HCL BRONZE full sun to overcast For everyday variable conditions, from full sun to overcast. Provides excellent contrast. Great if you love a warm, subtle bronze tint.",sunglasses,209.99,MODEL: HS267-10M Waterways.,Color: Matte Tortoise / HCL BRONZE Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: SuperThin Glass.,Gender: Unisex.,maui jim glasses sunglasses women woman men gift,for men women unisex girlfriend boyfriend,WATERWAYS discount for boyfriend girlfriend,mauijim,Sunglasses glasses shades lens lenses,brown,plastic,plastic,rectangular,polarized,58,16,135,unisex-adult,,prescription-ready
3N-UI4K-NQ4N,Maui Jim HS299-03T Kalena Tortoise With White & Blue Frame / Polarized HCL Bronze Lens,719363476093,Maui Jim,m299,eHS03T,"Kalena, meaning “pure” in Hawaiian, reveals its authentic appearance in front of and behind its lens. Much like aloha spirit is pure and focused on treating everyone with kindness, respect and good feelings.",sunglasses,269.99,MODEL: HS299-03T Kalena.,Color: Tortoise With White & Blue Frame / Polarized HCL Bronze Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.","Frame Material:Acetate, which proves to be lightweight, extremely durable and easily adjustable for a custom fit.",Gender: Women.,maui jim glasses sunglasses women woman men gift,HS299-03T 299-03 KALENA new original,polarized sunglasses glasses shades,mauijim glasses maui-jim discount authentic,Sunglasses glasses shades lens lenses,bronze,plastic,glass,round,polarized,57,17,135,unisex-adult,,prescription-ready
5F-1SVK-GV90,Maui Jim HS704-26S MANNIKIN Brown Stripe Frame / Polarized HCL BRONZE Lens,719363480687,Maui Jim,m704,eHS26S,"HCL BRONZE full sun to overcast For everyday variable conditions, from full sun to overcast. Provides excellent contrast. Great if you love a warm, subtle bronze tint.",sunglasses,239.99,MODEL: HS704-26S MANNIKIN.,Color: Brown Stripe Frame / Polarized HCL BRONZE Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: SuperThin Glass.,Gender: Women.,maui jim glasses sunglasses women woman men gift,mauijim mannikin,nakalele discount for boyfriend girlfriend,Polarised lens lenses,shades lens lenses authentic original,brown,plastic,glass,round,polarized,54,18,145,unisex-adult,,prescription-ready
BJ-G2A9-8RUJ,Maui Jim HS708-10LD LEIA Polarized Sunglasses Tokyo Tortoise Frame / HCL Bronze Lens,710377981528,Maui Jim,m708,eGS03D,"Neutral Grey bright, direct sun Perfect for especially bright, direct sunlight. Offers rich color and contrast along with the highest available light reduction, unlike ordinary grey lenses that flatten light evenly across the spectrum.",sunglasses,274.99,MODEL: GS708-03D LEIA.,Color: Tokyo Tortoise Frame / HCL Bronze Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Gender: Unisex.,,maui jim glasses sunglasses women woman men gift,GS246-17 leia,Wiki Wiki unisex aviator new original,mauijim glasses maui-jim discount authentic,polarized lens lenses authentic made in italy,grey,composite,glass,aviator,polarized,49,22,140,unisex-adult,,prescription-ready
7S-W7EA-JJH8,Maui Jim HS717-16 APAPANE Gold w/Pink Frame /Polarized HCL BRONZE Lens,719363481783,Maui Jim,m717,eHS16,"NEUTRAL GREY bright, direct sun Perfect for especially bright, direct sunglight. Offers rich color and contrast along witht he highest available light production, unlike ordinary grey lenses that flatten light evenly across the spectrum.",sunglasses,304.99,MODEL: HS717-16 APAPANE.,Color: Gold w/Pink Frame /Polarized HCL BRONZE Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: Maui Pure.,Gender: Unisex.,maui jim glasses sunglasses women woman men gift,mauijim GS717-02D,APAPANE discount for boyfriend girlfriend gift,Polarised lens lenses,shades lens lenses authentic original,bronze,titanium,composite,rectangular,polarized,49,21,129,unisex-adult,,prescription-ready
OF-Q0DJ-LIRE,Maui Jim HT282-15C Makawao Olive Stripe Frame / Polarized MAUI HT Lens,719363481790,Maui Jim,m282,eHT15C,"SuperThin Glass When clarity is the priority, go with the best optics available. Durable. Scratch resistant. 20% thinner and lighter than standard laminated glass lenses for long-wearing comfort, whether you`re driving or relying on them every day. Three rare earth elements ensure brilliance everywhere you look.",sunglasses,239.99,MODEL: HT282-15C Makawao.,Color: Olive Stripe Frame / Polarized MAUI HT Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: SuperThin Glass.,Gender: Unisex.,maui-jim glasses sunglasses women woman men gift,mauijim 282-02 mr,makawao discount for boyfriend girlfriend gift,Polarised lens lenses,shades lens lenses authentic original,green,composite,glass,rectangular,polarized,58,15,140,unisex-adult,,prescription-ready
PW-KEVB-RQY7,Maui Jim HT284-27L Eh Brah Light Charcoal Frame / Polarized Maui HT Lens,710377982402,Maui Jim,m284,eHT27L,"Maui HT ™ full sun to overcast High Transmission lenses work hard when distance counts. With the highest usable light transmission, HT technology balances contrast and depth of field for crisper details during varying conditions.",sunglasses,309.99,MODEL: HT284-27L EH BRAH.,Color: Light Charcoal Frame / Polarized Maui HT Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.",Lens Material: Super Thin Glass.,Gender: Unisex.,maui jim glasses sunglasses women woman men gift,mauijim 284-02,eh brah ehbrah discount for boyfriend girlfriend,Polarised lens lenses,shades lens lenses authentic original,brown,composite,glass,rectangular,polarized,55,17,140,unisex-adult,,prescription-ready
SG-5DPE-XA5C,Maui Jim HT423-11 Lighthouse Sunglasses Smoke Grey Frame / Maui HT Lens,719363476109,Maui Jim,m423,eHT11,"Hawaii’s first and still working lighthouse, located in Lahaina Harbor. Built of wood by Kamehameha III in 1840, it was reconstructed in concrete in 1916.",sunglasses,159.99,MODEL: HT423-11 Lighthouse.,Color: Smoke Grey Frame / Maui HT Lens.,"Original Maui Jim Packaging, Carton Box, Case and Cleaning Cloth Included.","Frame Material: High-grade nylon, which proves to be lightweight and extremely durable.",Gender: Women.,maui jim,HT423-11,Lighthouse,mauijim,Sunglasses,grey,plastic,plastic,rectangular,polarized,65,13,127,unisex-adult,,prescription-ready
