SKU,Product Name,Product Id,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,FrameColor,Special Features1
PI-TFR9-LB5U,Ray-Ban RX2180V 2000 Unisex Eyeglasses Shiny Black Frame 47mm,,Ray-Ban,mRX2180V,e2000,,prescription-eyewear-frames,114.99,Gender: Unisex.,Frame Color: Shiny Black.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Demo Lens.,,Ray Ban rayban ray-ban gift,reading glasses,Eyeglasses frame ophtalmic prescription,Authentic made in italy round,prescription demo clear lens ophtalmic optical,black,composite,plastic,round,non-polarized,47,21,145,unisex-adult,Black,prescription-ready
NN-IVNA-8QAA,Ray-Ban RX2180V 2000 Unisex Eyeglasses Shiny Black Frame 49mm,,Ray-Ban,mRX2180V,e2000,,prescription-eyewear-frames,99.99,Gender: Unisex.,Frame Color: Shiny Black.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Demo Lens.,,Ray Ban rayban ray-ban gift,reading glasses,Eyeglasses frame ophtalmic prescription,Authentic made in italy round,prescription demo clear lens ophtalmic optical,black,composite,plastic,round,non-polarized,49,21,145,unisex-adult,Black,prescription-ready
CI-PBBU-OVOY,Ray-Ban RX2180V 2012 Unisex Eyeglasses Dark Havana Frame 47mm,,Ray-Ban,mRX2180V,e2012,,prescription-eyewear-frames,99.99,Gender: Unisex.,Frame Color: Dark Havana.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Demo Lens.,,Ray Ban rayban ray-ban gift,reading glasses,Eyeglasses frame ophtalmic prescription,Authentic made in italy round,prescription demo clear lens ophtalmic optical,brown,composite,plastic,round,non-polarized,47,21,145,unisex-adult,brown,prescription-ready
8V-VR3Y-JC1F,Ray-Ban RX2180V 2012 Unisex Eyeglasses Dark Havana Frame 49mm,,Ray-Ban,mRX2180V,e2012,,prescription-eyewear-frames,109.99,Gender: Unisex.,Frame Color: Dark Havana.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Demo Lens.,,Ray Ban rayban ray-ban gift,reading glasses,Eyeglasses frame ophtalmic prescription,Authentic made in italy round,prescription demo clear lens ophtalmic optical,brown,composite,plastic,round,non-polarized,49,21,145,unisex-adult,brown,prescription-ready
1O-YBJB-RXAH,Ray-Ban RX2180V 2013 Unisex Eyeglasses Blue Frame 47mm,,Ray-Ban,mRX2180V,e2013,,prescription-eyewear-frames,99.99,Gender: Unisex.,Frame Color: Trasparent Blue.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Demo Lens.,,Ray Ban rayban ray-ban gift,reading glasses,Eyeglasses frame ophtalmic prescription,Authentic made in italy round,prescription demo clear lens ophtalmic optical,blue,composite,plastic,round,non-polarized,47,21,145,unisex-adult,Blue,prescription-ready
D3-4FF7-YJFG,Ray-Ban RX2180V 2013 Unisex Eyeglasses Trasparent Blue Frame 49mm,,Ray-Ban,mRX2180V,e2013,,prescription-eyewear-frames,99.99,Gender: Unisex.,Frame Color: Trasparent Blue.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Demo Lens.,,Ray Ban rayban ray-ban gift,reading glasses,Eyeglasses frame ophtalmic prescription,Authentic made in italy round,prescription demo clear lens ophtalmic optical,blue,composite,plastic,round,non-polarized,49,21,145,unisex-adult,Blue,prescription-ready
HN-POJY-0O7E,"Ray-Ban RX2180V Unisex Round Eyeglasses (Gradient Striped Blue Frame 5572, 47)",,Ray-Ban,mRX2180V,e5572,,prescription-eyewear-frames,119.99,,Lens: Demo,Original Ray-Ban Case and Cleaning Cloth included.,Gender: Unisex,,Ray Ban rayban ray-ban gift,reading glasses discount sale 2180 2180v,prescription demo clear lens ophtalmic optical,Authentic original new hipster round square,men women Eyeglasses frame ophtalmic,,plastic,Demo,Round,non-polarized,47,21,145,unisex-adult,Blue,prescription-ready
58-JPPK-DWB2,"Ray-Ban RX2180V Unisex Round Eyeglasses (Gradient Striped Blue Frame 5572, 49)",,Ray-Ban,mRX2180V,e5572,,prescription-eyewear-frames,119.99,,Lens: Demo,Original Ray-Ban Case and Cleaning Cloth included.,Gender: Unisex,,Ray Ban rayban ray-ban gift,reading glasses discount sale 2180 2180v,prescription demo clear lens ophtalmic optical,Authentic original new hipster round square,men women Eyeglasses frame ophtalmic,,plastic,Demo,Round,non-polarized,49,21,145,unisex-adult,Blue,prescription-ready
5T-RKW5-NJW6,"Ray-Ban RX2180V Unisex Round Eyeglasses (Gradient Striped Frame 5571, 47)",,Ray-Ban,mRX2180V,e5571,,prescription-eyewear-frames,119.99,,Lens: Demo,Original Ray-Ban Case and Cleaning Cloth included.,Gender: Unisex,,Ray Ban rayban ray-ban gift,reading glasses discount sale 2180 2180v,prescription demo clear lens ophtalmic optical,Authentic original new hipster round square,men women Eyeglasses frame ophtalmic,,plastic,Demo,Round,non-polarized,47,21,145,unisex-adult,Gradient Striped Frame 5571,prescription-ready
3G-ETG0-KXC6,"Ray-Ban RX2180V Unisex Round Eyeglasses (Grey Gradient Transparent Frame 5540, 47)",,Ray-Ban,mRX2180V,e5540,,prescription-eyewear-frames,119.99,,Lens: Demo,Original Ray-Ban Case and Cleaning Cloth included.,Gender: Unisex,,Ray Ban rayban ray-ban gift,reading glasses discount sale 2180 2180v,prescription demo clear lens ophtalmic optical,Authentic original new hipster round square,men women Eyeglasses frame ophtalmic,,plastic,Demo,Round,non-polarized,47,21,145,unisex-adult,Grey,prescription-ready
